report_id,date,site,report_type,activity,description,sif_potential,sif_predicted,sif_probability,life_saving_rule,lsr_all_matches,activity_category,barrier_failure
RPT-00447,2025-01-29,Numaligarh Terminal,Near-Miss,hot work / welding near flammable storage,"While conducting hot work / welding near flammable storage, a near-miss occurred at Numaligarh Terminal because isolation point not verified with lock and tag.",1,1,0.767,Hot Work,"['Hot Work', 'Energy Isolation']",Hot Work,Isolation Not Verified
RPT-00448,2025-10-31,Lakwa Gas Plant,Incident,line of fire during pipe fitting removal,Incident raised at Lakwa Gas Plant: worker engaged in line of fire during pipe fitting removal without following procedure - supervision inadequate for high-risk task.,1,1,0.519,Line of Fire,['Line of Fire'],Line of Fire Exposure,Inadequate Supervision
RPT-00449,2025-10-16,Kumchai Compressor Station,Near-Miss,vehicle movement in loading bay,"While conducting vehicle movement in loading bay, a near-miss occurred at Kumchai Compressor Station because permit to work not issued before starting job.",0,0,0.377,Driving Safety,"['Driving Safety', 'Work Authorization']",Driving / Vehicle Movement,Permit Not Issued
RPT-00450,2025-02-16,Lakwa Gas Plant,UC,manual lifting with mobile crane,UC raised at Lakwa Gas Plant: worker engaged in manual lifting with mobile crane without following procedure - toolbox talk / risk assessment not conducted.,0,0,0.399,Safe Mechanical Lifting,['Safe Mechanical Lifting'],Mechanical Lifting,Risk Assessment Skipped
RPT-00451,2025-11-11,Moran GGS,UA,vehicle movement in loading bay,"Observation (UA) at Moran GGS - vehicle movement in loading bay in progress, however isolation point not verified with lock and tag, increasing risk of vehicle collision.",1,0,0.365,Energy Isolation,"['Energy Isolation', 'Driving Safety']",Driving / Vehicle Movement,Isolation Not Verified
RPT-00452,2025-03-17,Numaligarh Terminal,Incident,energy isolation / LOTO on pump,"While conducting energy isolation / LOTO on pump, a incident occurred at Numaligarh Terminal because gas test not performed before entry.",1,1,0.769,Energy Isolation,"['Energy Isolation', 'Confined Space']",Energy Isolation / LOTO,Gas Test Skipped
RPT-00453,2025-12-06,Numaligarh Terminal,Incident,hot work / welding near flammable storage,"During hot work / welding near flammable storage at Numaligarh Terminal, it was observed that equipment inspection overdue / defective tool used. This created a direct exposure to fire or explosion in presence of flammable atmosphere.",0,1,0.616,Hot Work,['Hot Work'],Hot Work,Defective Equipment
RPT-00454,2025-08-12,Lakwa Gas Plant,UA,hot work / welding near flammable storage,UA raised at Lakwa Gas Plant: worker engaged in hot work / welding near flammable storage without following procedure - supervision inadequate for high-risk task.,0,0,0.474,Hot Work,['Hot Work'],Hot Work,Inadequate Supervision
RPT-00455,2025-11-11,Jorajan Pipeline ROW,UA,routine equipment inspection round,Field audit at Jorajan Pipeline ROW identified routine equipment inspection round where supervision inadequate for high-risk task. No injury occurred but potential for uncontrolled/unauthorized simultaneous operations was high.,0,0,0.122,Work Authorization,['Work Authorization'],Inspection / Housekeeping,Inadequate Supervision
RPT-00456,2025-12-19,Moran GGS,Near-Miss,routine equipment inspection round,"Observation (Near-Miss) at Moran GGS - routine equipment inspection round in progress, however no lifting plan / unqualified rigger used, increasing risk of uncontrolled/unauthorized simultaneous operations.",0,0,0.288,Safe Mechanical Lifting,"['Safe Mechanical Lifting', 'Work Authorization']",Inspection / Housekeeping,Permit Not Issued
RPT-00457,2025-10-18,Numaligarh Terminal,Incident,confined space entry into storage tank,Field audit at Numaligarh Terminal identified confined space entry into storage tank where permit to work not issued before starting job. No injury occurred but potential for asphyxiation or toxic gas exposure was high.,1,1,0.771,Confined Space,"['Confined Space', 'Work Authorization']",Confined Space Entry,Permit Not Issued
RPT-00458,2025-10-17,Numaligarh Terminal,Incident,vehicle movement in loading bay,Field audit at Numaligarh Terminal identified vehicle movement in loading bay where supervision inadequate for high-risk task. No injury occurred but potential for vehicle collision was high.,0,0,0.122,Driving Safety,['Driving Safety'],Driving / Vehicle Movement,Inadequate Supervision
RPT-00459,2025-06-13,Jorajan Pipeline ROW,Near-Miss,confined space entry into storage tank,Near-Miss raised at Jorajan Pipeline ROW: worker engaged in confined space entry into storage tank without following procedure - supervision inadequate for high-risk task.,0,0,0.427,Confined Space,['Confined Space'],Confined Space Entry,Inadequate Supervision
RPT-00460,2025-12-21,Digboi Refinery,UC,housekeeping / material storage,"While conducting housekeeping / material storage, a uc occurred at Digboi Refinery because supervision inadequate for high-risk task.",0,0,0.102,Unclassified,[],Inspection / Housekeeping,Inadequate Supervision
RPT-00461,2025-08-03,Kumchai Compressor Station,Near-Miss,driving light vehicle on site road,"During driving light vehicle on site road at Kumchai Compressor Station, it was observed that PPE (harness/gloves/goggles) not worn correctly. This created a direct exposure to vehicle collision.",0,0,0.266,Driving Safety,"['Driving Safety', 'Working at Height']",Driving / Vehicle Movement,PPE Non-Compliance
RPT-00462,2025-09-03,Naharkatiya Tank Farm,UC,electrical panel maintenance,"Observation (UC) at Naharkatiya Tank Farm - electrical panel maintenance in progress, however communication breakdown between crew and control room, increasing risk of unexpected equipment start-up / stored energy release.",1,0,0.429,Energy Isolation,['Energy Isolation'],Electrical Maintenance,Communication Failure
RPT-00463,2025-06-13,Moran GGS,UA,confined space entry into storage tank,"During confined space entry into storage tank at Moran GGS, it was observed that toolbox talk / risk assessment not conducted. This created a direct exposure to asphyxiation or toxic gas exposure.",0,0,0.457,Confined Space,['Confined Space'],Confined Space Entry,Risk Assessment Skipped
RPT-00464,2025-02-08,Digboi Refinery,UA,hot work / welding near flammable storage,"Observation (UA) at Digboi Refinery - hot work / welding near flammable storage in progress, however supervision inadequate for high-risk task, increasing risk of fire or explosion in presence of flammable atmosphere.",1,0,0.384,Hot Work,['Hot Work'],Hot Work,Inadequate Supervision
RPT-00465,2025-08-09,Digboi Refinery,Incident,energy isolation / LOTO on pump,"Observation (Incident) at Digboi Refinery - energy isolation / LOTO on pump in progress, however no lifting plan / unqualified rigger used, increasing risk of unexpected equipment start-up / stored energy release.",1,1,0.729,Energy Isolation,"['Energy Isolation', 'Safe Mechanical Lifting']",Energy Isolation / LOTO,Permit Not Issued
RPT-00466,2025-04-08,Numaligarh Terminal,UA,vehicle movement in loading bay,"During vehicle movement in loading bay at Numaligarh Terminal, it was observed that communication breakdown between crew and control room. This created a direct exposure to vehicle collision.",0,0,0.116,Driving Safety,['Driving Safety'],Driving / Vehicle Movement,Communication Failure
RPT-00467,2025-02-19,Duliajan Workshop,UA,housekeeping / material storage,"While conducting housekeeping / material storage, a ua occurred at Duliajan Workshop because equipment inspection overdue / defective tool used.",0,0,0.092,Unclassified,[],Inspection / Housekeeping,Defective Equipment
RPT-00468,2025-01-02,Naharkatiya Tank Farm,Near-Miss,vehicle movement in loading bay,Near-Miss raised at Naharkatiya Tank Farm: worker engaged in vehicle movement in loading bay without following procedure - equipment inspection overdue / defective tool used.,0,0,0.296,Driving Safety,['Driving Safety'],Driving / Vehicle Movement,Defective Equipment
RPT-00469,2025-03-29,Digboi Refinery,UC,driving light vehicle on site road,"During driving light vehicle on site road at Digboi Refinery, it was observed that no lifting plan / unqualified rigger used. This created a direct exposure to vehicle collision.",1,0,0.338,Driving Safety,"['Driving Safety', 'Safe Mechanical Lifting']",Driving / Vehicle Movement,Permit Not Issued
RPT-00470,2025-08-30,Barekuri Well Pad,Near-Miss,hot work / welding near flammable storage,"While conducting hot work / welding near flammable storage, a near-miss occurred at Barekuri Well Pad because toolbox talk / risk assessment not conducted.",0,0,0.367,Hot Work,['Hot Work'],Hot Work,Risk Assessment Skipped
RPT-00471,2025-07-09,Barekuri Well Pad,UC,hot work / welding near flammable storage,"While conducting hot work / welding near flammable storage, a uc occurred at Barekuri Well Pad because equipment inspection overdue / defective tool used.",0,0,0.477,Hot Work,['Hot Work'],Hot Work,Defective Equipment
RPT-00472,2025-05-18,Jorajan Pipeline ROW,UC,working at height on scaffolding,"While conducting working at height on scaffolding, a uc occurred at Jorajan Pipeline ROW because barricade/warning signage missing at work area.",1,0,0.46,Working at Height,['Working at Height'],Working at Height,Barricade/Signage Missing
RPT-00473,2025-07-31,Duliajan Field,UA,confined space entry into storage tank,"While conducting confined space entry into storage tank, a ua occurred at Duliajan Field because PPE (harness/gloves/goggles) not worn correctly.",0,1,0.604,Confined Space,"['Confined Space', 'Working at Height']",Confined Space Entry,PPE Non-Compliance
RPT-00474,2025-10-02,Moran GGS,Near-Miss,excavation near buried pipeline,Field audit at Moran GGS identified excavation near buried pipeline where permit to work not issued before starting job. No injury occurred but potential for being struck by moving/falling/suspended object was high.,0,0,0.351,Line of Fire,"['Line of Fire', 'Work Authorization']",Excavation,Permit Not Issued
RPT-00475,2026-01-01,Jorajan Pipeline ROW,UC,vehicle movement in loading bay,"During vehicle movement in loading bay at Jorajan Pipeline ROW, it was observed that isolation point not verified with lock and tag. This created a direct exposure to vehicle collision.",0,0,0.388,Energy Isolation,"['Energy Isolation', 'Driving Safety']",Driving / Vehicle Movement,Isolation Not Verified
RPT-00476,2025-08-18,Duliajan Workshop,Near-Miss,vehicle movement in loading bay,Field audit at Duliajan Workshop identified vehicle movement in loading bay where equipment inspection overdue / defective tool used. No injury occurred but potential for vehicle collision was high.,0,0,0.121,Driving Safety,['Driving Safety'],Driving / Vehicle Movement,Defective Equipment
RPT-00477,2025-12-16,Numaligarh Terminal,UA,manual lifting with mobile crane,"Observation (UA) at Numaligarh Terminal - manual lifting with mobile crane in progress, however isolation point not verified with lock and tag, increasing risk of dropped load / crane failure.",1,1,0.742,Safe Mechanical Lifting,"['Safe Mechanical Lifting', 'Energy Isolation']",Mechanical Lifting,PPE Non-Compliance
RPT-00478,2025-02-04,Moran GGS,Near-Miss,routine equipment inspection round,"While conducting routine equipment inspection round, a near-miss occurred at Moran GGS because gas test not performed before entry.",0,0,0.327,Confined Space,['Confined Space'],Inspection / Housekeeping,Gas Test Skipped
RPT-00479,2025-01-07,Naharkatiya Tank Farm,UC,excavation near buried pipeline,"While conducting excavation near buried pipeline, a uc occurred at Naharkatiya Tank Farm because communication breakdown between crew and control room.",0,0,0.101,Unclassified,[],Excavation,Communication Failure
RPT-00480,2025-03-17,Lakwa Gas Plant,Near-Miss,vehicle movement in loading bay,"During vehicle movement in loading bay at Lakwa Gas Plant, it was observed that equipment inspection overdue / defective tool used. This created a direct exposure to vehicle collision.",0,0,0.301,Driving Safety,['Driving Safety'],Driving / Vehicle Movement,Defective Equipment
RPT-00481,2025-05-27,Lakwa Gas Plant,Incident,vehicle movement in loading bay,Field audit at Lakwa Gas Plant identified vehicle movement in loading bay where PPE (harness/gloves/goggles) not worn correctly. No injury occurred but potential for vehicle collision was high.,0,0,0.449,Working at Height,"['Working at Height', 'Driving Safety']",Driving / Vehicle Movement,PPE Non-Compliance
RPT-00482,2025-08-31,Kumchai Compressor Station,UC,line of fire during pipe fitting removal,"Observation (UC) at Kumchai Compressor Station - line of fire during pipe fitting removal in progress, however barricade/warning signage missing at work area, increasing risk of being struck by moving/falling/suspended object.",0,0,0.278,Line of Fire,['Line of Fire'],Line of Fire Exposure,Barricade/Signage Missing
RPT-00483,2025-07-25,Numaligarh Terminal,UA,driving light vehicle on site road,Field audit at Numaligarh Terminal identified driving light vehicle on site road where communication breakdown between crew and control room. No injury occurred but potential for vehicle collision was high.,0,0,0.058,Driving Safety,['Driving Safety'],Driving / Vehicle Movement,Communication Failure
RPT-00484,2025-07-10,Naharkatiya Tank Farm,UA,energy isolation / LOTO on pump,"Observation (UA) at Naharkatiya Tank Farm - energy isolation / LOTO on pump in progress, however isolation point not verified with lock and tag, increasing risk of unexpected equipment start-up / stored energy release.",0,1,0.76,Energy Isolation,['Energy Isolation'],Energy Isolation / LOTO,Isolation Not Verified
RPT-00485,2025-12-17,Kumchai Compressor Station,UA,driving light vehicle on site road,"Observation (UA) at Kumchai Compressor Station - driving light vehicle on site road in progress, however barricade/warning signage missing at work area, increasing risk of vehicle collision.",0,0,0.063,Driving Safety,['Driving Safety'],Driving / Vehicle Movement,Barricade/Signage Missing
RPT-00486,2025-06-14,Moran GGS,Incident,confined space entry into storage tank,"Observation (Incident) at Moran GGS - confined space entry into storage tank in progress, however barricade/warning signage missing at work area, increasing risk of asphyxiation or toxic gas exposure.",0,0,0.313,Confined Space,['Confined Space'],Confined Space Entry,Barricade/Signage Missing
RPT-00487,2025-07-28,Naharkatiya Tank Farm,UA,vehicle movement in loading bay,UA raised at Naharkatiya Tank Farm: worker engaged in vehicle movement in loading bay without following procedure - PPE (harness/gloves/goggles) not worn correctly.,0,0,0.455,Working at Height,"['Working at Height', 'Driving Safety']",Driving / Vehicle Movement,PPE Non-Compliance
RPT-00488,2025-02-03,Jorajan Pipeline ROW,Near-Miss,excavation near buried pipeline,Field audit at Jorajan Pipeline ROW identified excavation near buried pipeline where supervision inadequate for high-risk task. No injury occurred but potential for being struck by moving/falling/suspended object was high.,0,0,0.161,Line of Fire,['Line of Fire'],Excavation,Inadequate Supervision
RPT-00489,2025-01-15,Duliajan Workshop,Near-Miss,line of fire during pipe fitting removal,Field audit at Duliajan Workshop identified line of fire during pipe fitting removal where gas test not performed before entry. No injury occurred but potential for being struck by moving/falling/suspended object was high.,0,1,0.621,Line of Fire,"['Line of Fire', 'Confined Space']",Line of Fire Exposure,Gas Test Skipped
RPT-00490,2025-07-04,Moran GGS,UA,manual lifting with mobile crane,"Observation (UA) at Moran GGS - manual lifting with mobile crane in progress, however permit to work not issued before starting job, increasing risk of dropped load / crane failure.",1,1,0.729,Safe Mechanical Lifting,"['Safe Mechanical Lifting', 'Work Authorization']",Mechanical Lifting,Permit Not Issued
RPT-00491,2025-03-05,Moran GGS,Near-Miss,driving light vehicle on site road,Field audit at Moran GGS identified driving light vehicle on site road where supervision inadequate for high-risk task. No injury occurred but potential for vehicle collision was high.,0,0,0.075,Driving Safety,['Driving Safety'],Driving / Vehicle Movement,Inadequate Supervision
RPT-00492,2025-08-31,Duliajan Field,UC,manual lifting with mobile crane,"Observation (UC) at Duliajan Field - manual lifting with mobile crane in progress, however supervision inadequate for high-risk task, increasing risk of dropped load / crane failure.",1,0,0.419,Safe Mechanical Lifting,['Safe Mechanical Lifting'],Mechanical Lifting,PPE Non-Compliance
RPT-00493,2025-12-19,Duliajan Workshop,UA,energy isolation / LOTO on pump,"While conducting energy isolation / LOTO on pump, a ua occurred at Duliajan Workshop because supervision inadequate for high-risk task.",0,0,0.292,Energy Isolation,['Energy Isolation'],Energy Isolation / LOTO,Inadequate Supervision
RPT-00494,2025-04-20,Barekuri Well Pad,UA,working at height on scaffolding,Field audit at Barekuri Well Pad identified working at height on scaffolding where communication breakdown between crew and control room. No injury occurred but potential for fall from height was high.,0,0,0.458,Working at Height,['Working at Height'],Working at Height,Communication Failure
RPT-00495,2025-12-16,Moran GGS,UA,routine equipment inspection round,"Observation (UA) at Moran GGS - routine equipment inspection round in progress, however isolation point not verified with lock and tag, increasing risk of uncontrolled/unauthorized simultaneous operations.",0,0,0.268,Energy Isolation,"['Energy Isolation', 'Work Authorization']",Inspection / Housekeeping,Isolation Not Verified
RPT-00496,2025-11-08,Jorajan Pipeline ROW,UC,confined space entry into storage tank,"During confined space entry into storage tank at Jorajan Pipeline ROW, it was observed that gas test not performed before entry. This created a direct exposure to asphyxiation or toxic gas exposure.",1,1,0.757,Confined Space,['Confined Space'],Confined Space Entry,Gas Test Skipped
RPT-00497,2025-08-27,Barekuri Well Pad,Incident,line of fire during pipe fitting removal,"Observation (Incident) at Barekuri Well Pad - line of fire during pipe fitting removal in progress, however communication breakdown between crew and control room, increasing risk of being struck by moving/falling/suspended object.",0,0,0.204,Line of Fire,['Line of Fire'],Line of Fire Exposure,Communication Failure
RPT-00498,2025-12-06,Duliajan Workshop,UC,vehicle movement in loading bay,"During vehicle movement in loading bay at Duliajan Workshop, it was observed that communication breakdown between crew and control room. This created a direct exposure to vehicle collision.",0,0,0.077,Driving Safety,['Driving Safety'],Driving / Vehicle Movement,Communication Failure
RPT-00499,2025-09-04,Duliajan Workshop,UC,routine equipment inspection round,"While conducting routine equipment inspection round, a uc occurred at Duliajan Workshop because no lifting plan / unqualified rigger used.",0,0,0.258,Safe Mechanical Lifting,['Safe Mechanical Lifting'],Inspection / Housekeeping,Permit Not Issued
RPT-00500,2025-11-30,Kumchai Compressor Station,Incident,driving light vehicle on site road,"While conducting driving light vehicle on site road, a incident occurred at Kumchai Compressor Station because supervision inadequate for high-risk task.",0,0,0.073,Driving Safety,['Driving Safety'],Driving / Vehicle Movement,Inadequate Supervision
RPT-00501,2025-11-04,Moran GGS,Near-Miss,confined space entry into storage tank,"During confined space entry into storage tank at Moran GGS, it was observed that equipment inspection overdue / defective tool used. This created a direct exposure to asphyxiation or toxic gas exposure.",0,1,0.623,Confined Space,['Confined Space'],Confined Space Entry,Defective Equipment
RPT-00502,2025-05-13,Kumchai Compressor Station,Near-Miss,routine equipment inspection round,"Observation (Near-Miss) at Kumchai Compressor Station - routine equipment inspection round in progress, however gas test not performed before entry, increasing risk of uncontrolled/unauthorized simultaneous operations.",0,0,0.197,Confined Space,"['Confined Space', 'Work Authorization']",Inspection / Housekeeping,Gas Test Skipped
RPT-00503,2025-06-25,Naharkatiya Tank Farm,UC,line of fire during pipe fitting removal,Field audit at Naharkatiya Tank Farm identified line of fire during pipe fitting removal where permit to work not issued before starting job. No injury occurred but potential for being struck by moving/falling/suspended object was high.,0,1,0.684,Line of Fire,"['Line of Fire', 'Work Authorization']",Line of Fire Exposure,Permit Not Issued
RPT-00504,2025-12-10,Moran GGS,UC,routine equipment inspection round,"Observation (UC) at Moran GGS - routine equipment inspection round in progress, however equipment inspection overdue / defective tool used, increasing risk of uncontrolled/unauthorized simultaneous operations.",0,0,0.131,Work Authorization,['Work Authorization'],Inspection / Housekeeping,Defective Equipment
RPT-00505,2025-02-19,Duliajan Workshop,Near-Miss,driving light vehicle on site road,Field audit at Duliajan Workshop identified driving light vehicle on site road where gas test not performed before entry. No injury occurred but potential for vehicle collision was high.,0,0,0.148,Driving Safety,"['Driving Safety', 'Confined Space']",Driving / Vehicle Movement,Gas Test Skipped
RPT-00506,2025-04-04,Numaligarh Terminal,Near-Miss,housekeeping / material storage,Field audit at Numaligarh Terminal identified housekeeping / material storage where barricade/warning signage missing at work area. No injury occurred but potential for loss of critical safety function was high.,0,0,0.107,Unclassified,[],Inspection / Housekeeping,Barricade/Signage Missing
RPT-00507,2025-06-07,Kumchai Compressor Station,UA,routine equipment inspection round,UA raised at Kumchai Compressor Station: worker engaged in routine equipment inspection round without following procedure - PPE (harness/gloves/goggles) not worn correctly.,0,0,0.354,Working at Height,['Working at Height'],Inspection / Housekeeping,PPE Non-Compliance
RPT-00508,2025-08-29,Kumchai Compressor Station,UC,energy isolation / LOTO on pump,"Observation (UC) at Kumchai Compressor Station - energy isolation / LOTO on pump in progress, however barricade/warning signage missing at work area, increasing risk of unexpected equipment start-up / stored energy release.",0,0,0.418,Energy Isolation,['Energy Isolation'],Energy Isolation / LOTO,Barricade/Signage Missing
RPT-00509,2025-12-15,Lakwa Gas Plant,UA,vehicle movement in loading bay,UA raised at Lakwa Gas Plant: worker engaged in vehicle movement in loading bay without following procedure - no lifting plan / unqualified rigger used.,0,1,0.514,Safe Mechanical Lifting,"['Safe Mechanical Lifting', 'Driving Safety']",Driving / Vehicle Movement,Permit Not Issued
RPT-00510,2025-04-13,Duliajan Workshop,UA,driving light vehicle on site road,UA raised at Duliajan Workshop: worker engaged in driving light vehicle on site road without following procedure - communication breakdown between crew and control room.,0,0,0.06,Driving Safety,['Driving Safety'],Driving / Vehicle Movement,Communication Failure
RPT-00511,2025-09-07,Naharkatiya Tank Farm,UA,vehicle movement in loading bay,UA raised at Naharkatiya Tank Farm: worker engaged in vehicle movement in loading bay without following procedure - toolbox talk / risk assessment not conducted.,0,0,0.16,Driving Safety,['Driving Safety'],Driving / Vehicle Movement,Risk Assessment Skipped
RPT-00512,2025-03-28,Numaligarh Terminal,UA,energy isolation / LOTO on pump,"While conducting energy isolation / LOTO on pump, a ua occurred at Numaligarh Terminal because permit to work not issued before starting job.",1,1,0.769,Energy Isolation,"['Energy Isolation', 'Work Authorization']",Energy Isolation / LOTO,Permit Not Issued
RPT-00513,2025-07-26,Numaligarh Terminal,UA,electrical panel maintenance,"Observation (UA) at Numaligarh Terminal - electrical panel maintenance in progress, however PPE (harness/gloves/goggles) not worn correctly, increasing risk of unexpected equipment start-up / stored energy release.",1,1,0.803,Energy Isolation,"['Energy Isolation', 'Working at Height']",Electrical Maintenance,PPE Non-Compliance
RPT-00514,2025-01-08,Jorajan Pipeline ROW,UA,line of fire during pipe fitting removal,UA raised at Jorajan Pipeline ROW: worker engaged in line of fire during pipe fitting removal without following procedure - permit to work not issued before starting job.,1,1,0.776,Line of Fire,"['Line of Fire', 'Work Authorization']",Line of Fire Exposure,Permit Not Issued
RPT-00515,2025-06-26,Duliajan Workshop,Near-Miss,manual lifting with mobile crane,Near-Miss raised at Duliajan Workshop: worker engaged in manual lifting with mobile crane without following procedure - permit to work not issued before starting job.,1,1,0.574,Safe Mechanical Lifting,"['Safe Mechanical Lifting', 'Work Authorization']",Mechanical Lifting,Permit Not Issued
RPT-00516,2025-01-24,Numaligarh Terminal,UC,hot work / welding near flammable storage,"While conducting hot work / welding near flammable storage, a uc occurred at Numaligarh Terminal because communication breakdown between crew and control room.",1,0,0.427,Hot Work,['Hot Work'],Hot Work,Communication Failure
RPT-00517,2025-12-18,Barekuri Well Pad,UC,electrical panel maintenance,"While conducting electrical panel maintenance, a uc occurred at Barekuri Well Pad because equipment inspection overdue / defective tool used.",0,0,0.458,Unclassified,[],Electrical Maintenance,Defective Equipment
RPT-00518,2025-07-26,Kumchai Compressor Station,Near-Miss,electrical panel maintenance,Near-Miss raised at Kumchai Compressor Station: worker engaged in electrical panel maintenance without following procedure - supervision inadequate for high-risk task.,0,0,0.454,Unclassified,[],Electrical Maintenance,Inadequate Supervision
RPT-00519,2025-03-28,Moran GGS,UA,manual lifting with mobile crane,"During manual lifting with mobile crane at Moran GGS, it was observed that gas test not performed before entry. This created a direct exposure to dropped load / crane failure.",1,1,0.8,Safe Mechanical Lifting,"['Safe Mechanical Lifting', 'Confined Space']",Mechanical Lifting,PPE Non-Compliance
RPT-00520,2025-11-16,Kumchai Compressor Station,UC,housekeeping / material storage,"While conducting housekeeping / material storage, a uc occurred at Kumchai Compressor Station because permit to work not issued before starting job.",0,0,0.309,Work Authorization,['Work Authorization'],Inspection / Housekeeping,Permit Not Issued
RPT-00521,2025-03-01,Lakwa Gas Plant,Near-Miss,working at height on scaffolding,"During working at height on scaffolding at Lakwa Gas Plant, it was observed that PPE (harness/gloves/goggles) not worn correctly. This created a direct exposure to fall from height.",1,1,0.864,Working at Height,['Working at Height'],Working at Height,PPE Non-Compliance
RPT-00522,2025-04-16,Jorajan Pipeline ROW,UC,line of fire during pipe fitting removal,"Observation (UC) at Jorajan Pipeline ROW - line of fire during pipe fitting removal in progress, however PPE (harness/gloves/goggles) not worn correctly, increasing risk of being struck by moving/falling/suspended object.",1,1,0.734,Line of Fire,"['Line of Fire', 'Working at Height']",Line of Fire Exposure,PPE Non-Compliance
RPT-00523,2025-11-07,Duliajan Field,Near-Miss,driving light vehicle on site road,Field audit at Duliajan Field identified driving light vehicle on site road where communication breakdown between crew and control room. No injury occurred but potential for vehicle collision was high.,0,0,0.053,Driving Safety,['Driving Safety'],Driving / Vehicle Movement,Communication Failure
RPT-00524,2025-02-28,Numaligarh Terminal,UC,line of fire during pipe fitting removal,Field audit at Numaligarh Terminal identified line of fire during pipe fitting removal where PPE (harness/gloves/goggles) not worn correctly. No injury occurred but potential for being struck by moving/falling/suspended object was high.,1,1,0.726,Line of Fire,"['Line of Fire', 'Working at Height']",Line of Fire Exposure,PPE Non-Compliance
RPT-00525,2025-04-14,Jorajan Pipeline ROW,UA,manual lifting with mobile crane,"While conducting manual lifting with mobile crane, a ua occurred at Jorajan Pipeline ROW because no lifting plan / unqualified rigger used.",0,1,0.696,Safe Mechanical Lifting,['Safe Mechanical Lifting'],Mechanical Lifting,Permit Not Issued
RPT-00526,2025-12-19,Naharkatiya Tank Farm,UA,driving light vehicle on site road,"Observation (UA) at Naharkatiya Tank Farm - driving light vehicle on site road in progress, however gas test not performed before entry, increasing risk of vehicle collision.",0,0,0.196,Driving Safety,"['Driving Safety', 'Confined Space']",Driving / Vehicle Movement,Gas Test Skipped
RPT-00527,2025-10-21,Kumchai Compressor Station,UA,manual lifting with mobile crane,"During manual lifting with mobile crane at Kumchai Compressor Station, it was observed that permit to work not issued before starting job. This created a direct exposure to dropped load / crane failure.",0,1,0.661,Safe Mechanical Lifting,"['Safe Mechanical Lifting', 'Work Authorization']",Mechanical Lifting,Permit Not Issued
RPT-00528,2025-02-21,Jorajan Pipeline ROW,Near-Miss,confined space entry into storage tank,"During confined space entry into storage tank at Jorajan Pipeline ROW, it was observed that PPE (harness/gloves/goggles) not worn correctly. This created a direct exposure to asphyxiation or toxic gas exposure.",1,1,0.757,Confined Space,"['Confined Space', 'Working at Height']",Confined Space Entry,PPE Non-Compliance
RPT-00529,2025-03-31,Moran GGS,UA,electrical panel maintenance,"During electrical panel maintenance at Moran GGS, it was observed that barricade/warning signage missing at work area. This created a direct exposure to unexpected equipment start-up / stored energy release.",1,1,0.556,Energy Isolation,['Energy Isolation'],Electrical Maintenance,Barricade/Signage Missing
RPT-00530,2025-01-24,Barekuri Well Pad,UC,energy isolation / LOTO on pump,"During energy isolation / LOTO on pump at Barekuri Well Pad, it was observed that supervision inadequate for high-risk task. This created a direct exposure to unexpected equipment start-up / stored energy release.",1,1,0.553,Energy Isolation,['Energy Isolation'],Energy Isolation / LOTO,Inadequate Supervision
RPT-00531,2025-05-18,Numaligarh Terminal,UA,routine equipment inspection round,"Observation (UA) at Numaligarh Terminal - routine equipment inspection round in progress, however gas test not performed before entry, increasing risk of uncontrolled/unauthorized simultaneous operations.",0,0,0.213,Confined Space,"['Confined Space', 'Work Authorization']",Inspection / Housekeeping,Gas Test Skipped
RPT-00532,2025-08-22,Digboi Refinery,UA,energy isolation / LOTO on pump,"Observation (UA) at Digboi Refinery - energy isolation / LOTO on pump in progress, however supervision inadequate for high-risk task, increasing risk of unexpected equipment start-up / stored energy release.",0,0,0.443,Energy Isolation,['Energy Isolation'],Energy Isolation / LOTO,Inadequate Supervision
RPT-00533,2025-12-23,Naharkatiya Tank Farm,Near-Miss,housekeeping / material storage,Near-Miss raised at Naharkatiya Tank Farm: worker engaged in housekeeping / material storage without following procedure - toolbox talk / risk assessment not conducted.,0,0,0.179,Unclassified,[],Inspection / Housekeeping,Risk Assessment Skipped
RPT-00534,2025-10-19,Duliajan Field,UC,confined space entry into storage tank,Field audit at Duliajan Field identified confined space entry into storage tank where PPE (harness/gloves/goggles) not worn correctly. No injury occurred but potential for asphyxiation or toxic gas exposure was high.,1,1,0.792,Confined Space,"['Confined Space', 'Working at Height']",Confined Space Entry,PPE Non-Compliance
RPT-00535,2025-12-17,Jorajan Pipeline ROW,UC,confined space entry into storage tank,"While conducting confined space entry into storage tank, a uc occurred at Jorajan Pipeline ROW because no lifting plan / unqualified rigger used.",1,1,0.785,Safe Mechanical Lifting,"['Safe Mechanical Lifting', 'Confined Space']",Confined Space Entry,Permit Not Issued
RPT-00536,2025-02-02,Numaligarh Terminal,UA,electrical panel maintenance,"Observation (UA) at Numaligarh Terminal - electrical panel maintenance in progress, however toolbox talk / risk assessment not conducted, increasing risk of unexpected equipment start-up / stored energy release.",0,0,0.481,Energy Isolation,['Energy Isolation'],Electrical Maintenance,Risk Assessment Skipped
RPT-00537,2025-04-25,Kumchai Compressor Station,Near-Miss,working at height on scaffolding,Field audit at Kumchai Compressor Station identified working at height on scaffolding where equipment inspection overdue / defective tool used. No injury occurred but potential for fall from height was high.,0,1,0.618,Working at Height,['Working at Height'],Working at Height,Defective Equipment
